Month,Apple Picking Season,April Fool's Day Pranks,Armistice Day,Autumn Equinox Meaning,Back to School Night for Parents,Back to School Outfit Ideas,Back to School Supplies,Bastille Day Events,Black Friday Deals,Breast Cancer Awareness Month Activities,Canada Day Fireworks,Cherry Blossom Bloom Dates,Cherry Blossom Festival Events,Cherry Harvest Time,Chinese Lantern Festival Activities,Chinese New Year Traditions,Christmas Tree Farms Near Me,Cinco de Mayo Recipes,Coachella Festival Dates,Cold Symptoms,Columbus Day Sales,Common Application,Corn Mazes,Cyber Monday Sales,Day of the Dead Celebrations,Diwali Celebration Ideas,Earth Day Activities,Easter Egg Hunt Ideas,Eid al-Adha,Fall Foliage Prediction,Fall Harvest Festival Near Me,Fall of Saigon,Fall Semester Start Dates,Father's Day Gifts,First Day of Spring Celebrations,Fourth of July Fireworks Near Me,Golden Globes,Graduation Ceremony Ideas,Grandparents Day,Groundhog Day,Guy Fawkes Night Fireworks,Halloween Costume Ideas,Hanukkah Candle Lighting Schedule,High School Prom Themes,Hiroshima Bombing,Holiday Gift Ideas,Homecoming Dance Ideas,Hurricane Season Prep,International Women's Day Events,International Yoga Day Events,King's Day in the Netherlands,Kwanzaa Principles,Labor Day Weekend Getaways,Mardi Gras Events,Memorial Day Weekend Travel,Mid-Autumn Festival Traditions,Monsoon Season Destinations,Mother's Day Gifts,NBA Finals Schedule,NCAA March Madness Bracket,New Year's Eve Party Ideas,New Year's Resolutions,NFC Championship,NFL Draft Predictions,Oktoberfest Celebrations Near Me,Parent-Teacher Conference Tips,Passover Meal Recipes,Pearl Harbor Attack,Pride Month Events,Pumpkin Carvings,Pumpkin Patch Near Me,Ramadan Fasting,Rosa Parks Day,Rosh Hashanah Traditions,Science Fair Project Ideas,September 11 Attacks,Ski Resorts,Spring Break Travel Destinations,St. Patrick's Day Parade,Summer Camp Registration,Summer Solstice Festivals,Summer Vacation Destinations,Sunflower Field Locations,Super Bowl Party Recipes,Teacher Appreciation Week,Thanksgiving Dinner Recipes,Trick or Treat,Tropical Storms,Tulip Festival Dates,US Open Tennis,Valentine's Day Gift Ideas,Veterans Day Parade,Wimbledon Matches Schedule,Winter Solstice Celebrations,Winter Storm Preparedness,World Environment Day Activities,World Mental Health Day,Yom Kippur Fasting Tips
2021-03,9,63,1,0,0,0,1,0,0,0,0,0,24,0,0,2,0,0,0,32,0,28,1,2,0,0,6,100,1,0,0,3,0,1,0,0,1,0,2,2,0,1,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,1,1,13,0,0,82,17,0,0,0,6,16,0,9,4,20,0,0,28,0,42,0,0,0,0,1,7,45,0,0,0,0,0,0,0,1,0
2021-04,6.25,0,1,0,0,0,1,0,0,0,0,0,0,18,0,1.25,0,7.75,0,36.5,0,29.75,0.25,1.5,0,0,30.75,4.25,1.5,0,0,3.25,0,1.25,0,0,1,37.25,2.75,1.25,0,1,0,0,14.25,4.5,0,0,0,0,0,0.75,0,2.25,14.5,0,0,20.25,0,0.75,0,0.5,1.5,33,0,25,0,20.5,0,0,0,34.5,11.75,0,14.25,6.5,17.25,0,0,33,0,22,0,0,2,0,1,8.75,40.25,0,0.25,0,0,0,0,0,1,0
2021-05,7,0,1.8,0,0,0,1,2.6,0,0,0.2,20,0,0,0,2,0,19,0,32.6,0,29,0,1.4,1.4,0,1.8,0,3.6,0,0,2.4,0,10.4,0,0.4,1.2,50.6,4.8,1,0,1,0,0,14.6,5.2,0,0,0,7.2,0,0,0,2.8,33.2,0,0,23.6,1.2,0,0,0.4,1.2,1.2,0,0,0,19,20.6,0,0,7,15.6,0,7.2,8.6,17.4,0,0,39.6,0,41,0,0,2.4,0,1,11.8,11.4,0,0.4,0.4,0,0,0,28.2,0.8,0
2021-06,5.75,0,1,1.75,0,0,1.5,0,0,0,14.25,0,0,0,0,0.5,0,0.5,0,30.5,0,33,0,2,0,0,1.75,0,5.25,3.75,0,1.5,0,43,0,19.5,0,30.25,4.25,1,0,1,0,0,9,4.25,0,0,0,24.5,0,1,0,1,0,0,0,1,8.25,0,0,0.25,1,0,0,0,6.75,10.25,15.25,0,0,1,11.75,0,3.5,4.5,17.5,0,0,43,0,47.75,0,0,0,0,1,27.75,8.5,1,0.5,0,21.25,0,0,6.25,1,0
2021-07,10.5,0,1,0,0,42.25,7.25,4,0,0,0.25,0,0,0,0,0,0,0,0,38.25,0,36,0.75,1.25,0,0,1,0,25.25,14.25,0,1.25,17.5,1,0,14,0.25,0,8.5,1,0,2,0,0,9,5,0,0,0,0,0,0,6.25,0,0,0,0,0.5,42.75,0,0,0.25,1.25,1.5,0,0,0,9.5,0,0,0,1.25,8.5,0,3,4,19.75,0,0,21.5,0,40.25,0,0,0,0,1,20.75,0,1.25,0,0,28.25,0,0,2.25,1,0
2021-08,43.4,0,1,0,0,48.6,8.8,0,0,0,0,0,0,0,0,0.4,0,0,0,46.4,0,44,5.8,1.2,0,0,1,0.2,1,39.6,0,28.4,0,3.4,0,0,0,0,7.6,1,0,6,0,0,17,5.4,13.6,0,0.2,0,0,0,55.6,0,0,0,15.4,0.4,0.2,0,0,0.4,1.2,2,0,0,0,9.2,0,0.2,1,1.4,11,8.6,22.8,14,22.6,0,0,3,0,0,0,0,0,0,1.8,46.4,0,11.2,1.2,0,0,0,0,0,1,0
2021-09,90,0,1,21,0,0,1.25,0,0.75,0,0,0,0,0,0,0,0.75,0,0,49.25,8,50.75,38.25,2,4.25,1.75,1,0,0.5,82.25,40,1.75,0,1,0,0,0.25,0,42,1,0,20.5,0,0,11.75,8.25,49,0,0,0,0,0,0,1.75,0,0,0,0.5,0,0,0,0.5,2,2.25,0,0,0,10,0,2.75,18.25,1,4.5,25,41.5,41.75,28.75,0,0.25,0,0,0,0,0,0,3.75,5.25,44.5,0,29.25,1.25,1,0,5.5,0,0,4.25,0
2021-10,42,0,3.4,0,0,0,1,3,4.6,20,0,0,0,0,0,1,3,0,0,52.8,36.8,59.4,62.6,2.4,20.8,28.4,1,0,1,44.4,54.2,1.4,0,0.4,0,0,0,0,4.6,1,24.2,55.6,0,0,9.8,18.4,0,0,0,0,0,1.4,0,0.8,0,0,20,0.2,0.4,0,0,0.4,2,2.6,0,0,0,11,0,43.2,65.8,1,14.6,0,43.8,5.6,36,0,0,0,0,0,0,0,0,17,47.2,13.8,5.4,0,1.4,5,0,0,0,0,19.8,0
2021-11,8.75,0,20.5,0,0,0,0.75,0,39,0,0,0,0,0,0,3.5,60,0.5,0,52.5,0,48.25,2.5,34,0,0,1,0,1,0,0,1.5,0,0.25,0,0,0.25,0,2.25,1,1.75,1.25,0,0,11,45.5,0,0,0,0,0,3,0,2.75,0,0,0,0.25,0,0,1.5,1.5,2,3.75,0,0,0,12.75,0,0.25,1,1,26.25,0,44.75,6.5,46.5,0,0,0,0,0,0,0,0,58,1.75,11,0,0,1.5,20.75,0,5,0,0,1,0
2021-12,1.25,0,1.25,0,0,0,1,0,1,0,0,0,0,0,0,7.25,21.5,0.5,0,78,0,40.75,0.5,2.25,0,0,1,0,1,0,0,1.5,0,0.25,0,0,1.75,0,2,1.75,0,1,0,0,12.75,43.75,0,0,0,0,0,36.75,0,6,0,0,0,0,0,0,25.25,23,3.5,5.5,0,0,0,35,0,0,0,1,8.25,0,31,4.25,74.75,25,0,0,0,11,0,0,0,1,1,7.75,0,0,3,0,0,28.75,0,0,0.75,0
2022-01,1.4,0,1,0,0,0,1,3.8,0,0,0,0,0,0,0,37.6,0,0,0,57,0,52.8,0,1,0,0,1,0.4,1,0,0,1.6,0,0,0,0,5.4,0,2.6,22.8,0,1,0,0,16,4.2,0,0,0.4,0,0,1.6,0,19.8,0,0,0,0.6,0,0,0,20.4,44.4,8.8,0,0,0,19.4,0,0,0,1.4,38.6,0,51.6,5.4,75.6,13.4,2.2,29.4,0,31,0,4.8,0,0,1,9.6,5.4,0.6,36.4,0,0,0,25.2,0,1,0
2022-02,2.75,0,1,0,8.25,0,1,0,0,0,0,0,11.5,0,0,5.5,0,0,18.25,29.75,0,56,0.5,1,3.25,0,2,2.75,1,6.75,0,2.25,0,0,0,0,1,9.75,3,3.25,0,1,0,0,38,3.75,0,0,2.75,0,0,0.75,0,59.25,0,0,0,1.75,0,1.25,0,1.25,3.5,7,0,0,0,24.25,0.75,0,0,2.5,31.25,0,48.5,6.25,54.25,56,10.75,66,0,44.5,0,29.5,0,0,1,10.75,34,0,37,0,0,0,0,5,1,0
2022-03,3.75,25,1,1.5,0,0,1,0,0,0,0,23.5,67.25,0,0,2.5,0,1.25,0,34.5,0,54,0.25,1,1.5,1.5,5.5,11.5,1.5,0,0,3,0,0.75,0,0,1.5,46,2.75,1.25,0,0.75,0,0,28.25,3.75,0,0,2.75,0,0,0.5,0,6.5,2.25,0,0,6.75,0.5,31.75,0,1,1.5,9.25,0,0,6,28.5,1.5,0,0,18.25,26.25,0,40,6.75,27.75,16,43,69,13.5,40.5,0,0,0.25,0,1,12.25,58.5,0,0,0,0,0,0,3.5,1,0
2022-04,6,0,1.5,0,0,0,1,0,0,0,0,0,42,0,0,2.5,0,7,66.25,35.5,0,50.75,0.25,1,1.25,0,35.25,28.5,2.75,0,0,5.25,0,1.25,0,0,1,42.75,3.25,1,0,1,0,0,26,4.25,0,20.25,0.25,0,20.5,0.25,4.75,4.25,10.75,0,0,13.75,2.25,1,0,0.75,1,26,0,0,44.25,35.5,4.75,0,0,35.25,20.5,0,37,11.25,19.75,0,0.5,73.75,0,78.75,20.5,0,2.25,0,1,12,69.5,0,0.5,0,0,2.5,0,6.75,1.25,0
2022-05,7.4,0,1.8,0,0,0,1.2,0,0,0,0.6,0,0,10.6,0,2.4,0,15.2,0,31.6,1.2,45.8,0,1,1,0,2.6,0,4.4,0,0,4.8,0,9.2,0,0.2,0.2,72.4,4.6,1,0,1,0,0,24.6,3.8,0,0,0.2,0,0,0,0,2.8,38,0,0,20.8,29.8,0,0,0.6,1,2.2,0,0,0,33,33.8,0,0,2.8,28.6,2.2,30.8,10.4,15.4,0,0,66.2,0,75.4,0,0,2.2,0,1.6,29.4,33.6,0.2,0.2,0.4,0,0,0,24.8,1,0
2022-06,7.75,0,1,0,0,0,2.25,5.25,0,0,27,0,0,25,0,0,0,0,0,30.25,0,43.5,0.5,1,0,0,1.75,0,8.75,0,0,1.5,25,33,0,13,0.25,57.5,4.5,1,0,1,0,0,13,4,0,0,0,30,0,0,0,4.5,0,0,0,0.75,41.75,0,0,0,1.5,0.25,0,0,0,13.75,30.75,0,0,1,13,0,8.5,6,16.5,0,0,52,38.5,63.5,0,0,0,0,1,21,4.75,0.75,0,0,16.5,0,0,15.25,1,0
2022-07,14.2,0,1.2,0,0,32,10.6,18.8,0,0,0.6,0,0,0,0,0,0,0,0,29,0,47.8,2,1,0,0,1,0,14.6,8.2,0,1.4,29,1,0,20,0,0,6.4,1,0,2.6,0,0,15.2,5,0,0,0,0,0,0,4.6,1.6,0,0,0,0,0.6,0,0,0,1.2,0.2,0,0,0,13.2,2.8,0,0,1.2,9.4,0,9,5.6,20.4,0,0,23.2,0,35.2,0,0,0,0,1.2,24.6,0,1,0.2,0,18.4,0,0,0,1,0
2022-08,45.75,0,1,3.25,22.75,67.25,49.75,0,0,0,0,0,0,0,25,0,0.25,0,0,27.25,2.25,60.75,6.75,1,1.5,0,0.75,0,1,31,0,2,0,3,0,0,0,0,9.75,1,0,6.75,0,0,15.5,5,0,0,0,0,0,0,56.75,3,0,0,0,0,0.25,0,0,0.5,1.5,2.75,0,0,0,10,1,0,1.25,1,10.5,0,38.25,7.5,26.25,13,0,3.5,13.75,0,0,0,0,0,2.5,64.75,0,16.25,0.25,0.5,0,0,0,0,1.5,0
2022-09,83.5,0,1,32.75,57,16.5,1.5,0,0.25,0,0,0,0,0,0,2.25,1,0,0,33.5,9,73.25,30,1.25,3.75,6.25,1,0,1,64.5,40.5,2,19.25,0.25,0,0,0,8,39.5,1,0,16.5,0,0,15,7.25,78.75,0,0,0,0,0.25,0,2.5,0,25,0,0,0,0,0,0.5,2.25,2.75,0,0,0,11,1.75,2,11,1,11.75,40,56.75,22.5,25,0,0,0,0,6,0,0,0,4,5.75,72,5.25,21.5,0,1,0,0,0,1.25,5,0
