Query,Jan_mean,Feb_mean,Mar_mean,Apr_mean,May_mean,Jun_mean,Jul_mean,Aug_mean,Sep_mean,Oct_mean,Nov_mean,Dec_mean,Mean_seasonality,ACF_12,Summer_winter_ratio,Label
Apple Picking Season,1.6666666666666667,1.7,2.5,3,3.35,4.35,6.7,22.5,64.25,30.2,5.7,1.25,0.996280304,0.937144347,7.267148014440432,1
April Fool's Day Pranks,0,0,10.3,24.5,0,0,0,0.7,0,0,0,0,0.9982677358355092,0.742731839,0,1
Armistice Day,4.571428571428571,4.6,4.4,4.45,7.1,3,2.3,2.1,3.45,7.1,48.4,5,0.998192067,0.8619701163097094,0.5221774193548387,1
Autumn Equinox Meaning,0.9047619047619048,0.95,3.3,1.1,1.25,1.75,1.45,2.25,31.1,3.3,2.3,0.85,0.9974901421172522,0.7371850441342795,2.0149647887323945,1
Back to School Night for Parents,0.42857142857142855,1.2,1.8,1,2.4,2.25,0.45,17.05,54.05,5.55,2.05,0.75,0.9967525219018063,0.8234271744071257,8.303303303303304,1
Back to School Outfit Ideas,2,1.15,0.45,0.6,0.9,4.15,15.8,40.65,10.55,0.95,0.5,0.45,0.9976903014469437,0.868616014,16.833333333333332,1
Back to School Supplies,1.9047619047619047,0.95,1.05,1.2,1.95,4.35,24.4,35.4,4.9,1,1.05,1.1,0.9968635363942444,0.764112626,16.22095123419627,1
Bastille Day Events,0.47619047619047616,2.2,1.15,2.2,3.4,9.2,42.9,0.35,0.35,0.7,0.3,0.25,0.996343105,0.7837735271721826,17.924328722538647,1
Black Friday Deals,0.23809523809523808,0.1,0.1,0.1,0.1,0.15,0.25,0.25,0.35,1.6,47,1,0.9959996445732459,0.9394967019404593,0.4857651245551602,1
Breast Cancer Awareness Month Activities,0,0,0,0,0,0,0,0,22.8,46.6,0,0,0.997020617,0.8679726475770722,0,1
Canada Day Fireworks,0.047619047619047616,0,0,0.05,2.7,24.6,65.1,0.35,0.1,0.1,0,0,0.9958702778894534,0.9212849020633592,1891.0500000000002,1
Cherry Blossom Bloom Dates,0,3.2,15.4,1.5,0,0,0,1.5,0,0,0,0,0.9984586119974346,0.4588017437995667,0.46875,1
Cherry Blossom Festival Events,6.809523809523809,12.8,52.1,43.35,1.85,1.4,0,0.7,1,1.05,1.25,1.65,0.9987304976501854,0.8124164951613704,0.098779259,1
Cherry Harvest Time,5.428571428571429,3.95,9.8,7.05,28.3,20.05,20.45,8.1,3.85,6.55,12.4,0,0.9987347473470566,0.44143659555373194,5.182025894897181,1
Chinese Lantern Festival Activities,0,5,0,0,0,0,0,0,0,3.9,0,7.5,0.9991318437081833,0.18183429487467373,0,1
Chinese New Year Traditions,30.904761904761905,27.75,2.95,1.75,1.4,0.95,0.6,0.9,1.3,2.05,3.45,9.1,1.0145208514081907,0.4034835610246626,0.036159820079418065,1
Christmas Tree Farms Near Me,0.095238095,0,0,0,0,0,0.1,0.25,0.35,1.15,27.2,21.25,0.9978583630084434,0.8449257283985357,0.016397099832865556,1
Cinco de Mayo Recipes,0.19047619047619047,0.4,1.2,17,44.35,0.3,0.3,0.2,0.1,0.2,0,0.1,0.996020397,0.8492650419534239,1.1586206896551725,1
Coachella Festival Dates,19.952380952380953,16.15,19.95,23.95,2.05,2.1,0,0.65,0,0.55,1.1,1.65,1.0047406256711848,0.46382132093892336,0.072843088,1
Cold Symptoms,28.80952380952381,25.35,24.85,18.95,17,14.9,15.35,16.95,21.8,23.85,25.1,30.2,1.001442154438659,0.6426660266344397,0.5595100335864074,1
Columbus Day Sales,0.2857142857142857,0.25,0.1,0.1,0.75,0.1,0.05,1,5.15,47.85,0.3,0.15,0.9963253318910081,0.9475979919119637,1.6770833333333333,1
Common Application,21.761904761904763,11.6,8.3,6.7,6.5,7.65,11.9,21.3,32.4,47.7,39.6,32.55,1.0000206258188873,0.9121472029958463,0.6197666437886068,1
Corn Mazes,0.095238095,0,0.1,0.1,0,0.05,0.9,2.8,19.95,56.75,2.55,0.1,0.9958911870365744,0.9339489838068843,19.207317096594288,1
Cyber Monday Sales,0.2857142857142857,0.1,0.1,0.1,0.15,0.2,0.25,0.3,0.35,0.6,33.8,9.35,0.9964962091180328,0.7739988498431501,0.07703595,1
Day of the Dead Celebrations,2.0952380952380953,2.95,1.65,2.15,3.75,1,0.2,1.05,6.85,52.8,29.25,1.8,0.9966762839538384,0.8009602896073709,0.328695652,1
Diwali Celebration Ideas,0,0,0,0,0,0,0,0.45,4.1,34.2,16.85,0.15,0.9972005229181069,0.5629208055657292,3,1
Earth Day Activities,1.1904761904761905,2.1,7.2,48.65,1.3,0.9,0.45,0.65,0.6,0.6,0.5,0.35,0.9968854345870504,0.8772332384902947,0.5493786788750817,1
Easter Egg Hunt Ideas,1,3.7,29.3,33.65,0.05,0.05,0,0,0.05,0.05,0,0.2,0.9965620621099801,0.4993102977044791,0.010204082,1
Eid al-Adha,6.380952380952381,1.6,2,2.7,3.25,7.9,10.3,6.1,6.45,5.75,8.65,11.65,1.0016551061982981,0.5615234338353984,1.2378411158277745,1
Fall Foliage Prediction,0,0,0,0.1,0.2,2.7,1.7,6.95,22.55,11.05,0.6,0,0.9964590295104131,0.5873942524441372,0,1
